#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS,src_page
1,GK,WILLIAMS Lydia,Lydia Grace Yilkari,WILLIAMS,WILLIAMS,13/05/1988,Brighton & Hove Albion WFC (ENG),175,102,0,2
2,DF,NEVIN Courtney,Courtney Jade,NEVIN,NEVIN,12/02/2002,Leicester City LFC (ENG),169,24,0,2
3,DF,LUIK Aivi,Aivi Belinda Kerstin,LUIK,LUIK,18/03/1985,BK Häcken (SWE),166,43,1,2
4,DF,POLKINGHORNE Clare,Clare Elizabeth,POLKINGHORNE,POLKINGHORNE,01/02/1989,Vittsjo GIK (SWE),171,163,16,2
5,FW,VINE Cortnee,Cortnee Brooke,VINE,VINE,09/04/1998,Sydney FC (AUS),165,24,3,2
6,MF,WHEELER Clare,Clare May,WHEELER,WHEELER,14/01/1998,Everton LFC (ENG),163,14,0,2
7,DF,CATLEY Steph,Stephanie Elise,CATLEY,CATLEY,26/01/1994,Arsenal WFC (ENG),171,117,5,2
8,MF,CHIDIAC Alex,Alexandra Carla,CHIDIAC,CHIDIAC,15/01/1999,Racing Louisville FC (USA),158,30,2,2
9,FW,FOORD Caitlin,Caitlin Jade,FOORD,FOORD,11/11/1994,Arsenal WFC (ENG),168,116,30,2
10,MF,VAN EGMOND Emily,Emily Louise,VAN-EGMOND,VAN EGMOND,12/07/1993,San Diego Wave FC (USA),174,135,31,2
11,FW,FOWLER Mary,Mary Boio,FOWLER,FOWLER,14/02/2003,Manchester City WFC (ENG),169,43,11,2
12,GK,MICAH Teagan,Teagan Jade,MICAH,MICAH,20/10/1997,FC Rosengård (SWE),174,14,0,2
13,MF,YALLOP Tameka,Tameka,YALLOP,YALLOP,16/06/1991,SK Brann (NOR),161,115,12,2
14,DF,KENNEDY Alanna,Alanna Stephanie,KENNEDY,KENNEDY,21/01/1995,Manchester City WFC (ENG),176,114,9,2
15,DF,HUNT Clare,Clare Josephine,HUNT,HUNT,12/03/1999,WS Wanderers FC (AUS),176,13,0,2
16,FW,RASO Hayley,Hayley Emma,RASO,RASO,05/09/1994,Manchester City WFC (ENG),161,78,15,2
17,FW,SIMON Kyah,Kyah Pam,SIMON,SIMON,25/06/1991,N/A (Free Agent),165,111,29,2
18,GK,ARNOLD Mackenzie,Mackenzie Elizabeth,ARNOLD,ARNOLD,25/02/1994,West Ham United WFC (ENG),181,42,0,2
19,MF,GORRY Katrina,Katrina-Lee,GORRY,GORRY,13/08/1992,Vittsjo GIK (SWE),155,101,17,2
20,FW,KERR Sam,Samantha May,KERR,KERR,10/09/1993,Chelsea FCW (ENG),168,125,64,2
21,DF,CARPENTER Ellie,Ellie Madison,CARPENTER,CARPENTER,28/04/2000,Olympique Lyonnais (FRA),165,69,3,2
22,DF,GRANT Charlotte,Charlotte Layne,GRANT,GRANT,20/09/2001,Vittsjo GIK (SWE),168,19,1,2
23,MF,COONEY-CROSS Kyra,Kyra Lillee,COONEY-CROSS,COONEY-CROSS,15/02/2002,Hammarby IF (SWE),165,35,0,2
1,GK,DURAND Solene,Solène Marie Reine,DURAND,DURAND,20/11/1994,US Sassuolo (ITA),171,3,0,10
2,DF,LAKRAR Maelle,Maëlle Ourida Louisette,LAKRAR,LAKRAR,27/05/2000,Montpellier HSC (FRA),171,8,3,10
3,DF,RENARD Wendie,Wendie Thérèse,RENARD,RENARD,20/07/1990,Olympique Lyonnais (FRA),187,150,34,10
4,MF,FAZER Laurina,Laurina Monique,FAZER,FAZER,13/10/2003,Paris Saint-Germain FC (FRA),165,3,0,10
5,DF,DE ALMEIDA Elisa,Elisa Flore,DE ALMEIDA,DE ALMEIDA,11/01/1998,Paris Saint-Germain FC (FRA),168,23,3,10
6,MF,TOLETTI Sandie,Sandie Rose,TOLETTI,TOLETTI,13/07/1995,Real Madrid CF (ESP),169,46,3,10
7,DF,KARCHAOUI Sakina,Sakina,KARCHAOUI,KARCHAOUI,26/01/1996,Paris Saint-Germain FC (FRA),160,62,0,10
8,MF,GEYORO Grace,Onema Grace,GEYORO,GEYORO,02/07/1997,Paris Saint-Germain FC (FRA),168,71,15,10
9,FW,LE SOMMER Eugenie,Eugénie Anne Claudine,LE SOMMER,LE SOMMER D,18/05/1989,Olympique Lyonnais (FRA),161,183,92,10
10,MF,MAJRI Amel,Amel,MAJRI,MAJRI,25/01/1993,Olympique Lyonnais (FRA),164,70,11,10
11,FW,DIANI Kadidiatou,Kadidiatou,DIANI,DIANI,01/04/1995,Paris Saint-Germain FC (FRA),169,89,26,10
